시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
가평군,3반상회앞,3-ban Market,239000307,44655,노변정류장,경기도 가평군,경기도 가평군 가평읍,37.81125,127.5214667
가평군,가는골,Ganeungol,239000874,44847,노변정류장,경기도 가평군,경기도 가평군 북면,37.9675333,127.4186167
가평군,가는골,Ganeungol,239000875,44848,노변정류장,경기도 가평군,경기도 가평군 북면,37.96745,127.41865
가평군,가둘기,Gadulgi,239000061,44280,노변정류장,경기도 가평군,경기도 가평군 북면,37.9000667,127.5115833
가평군,가둘기(목동방면),Gadulgi,239000459,44354,노변정류장,경기도 가평군,경기도 가평군 북면,37.9000333,127.5117
가평군,가림마을,Garim Maeul ,239000053,44286,노변정류장,경기도 가평군,경기도 가평군 북면,37.9766833,127.4438667
가평군,가림마을(목동방면),Garim Maeul ,239000454,44501,노변정류장,경기도 가평군,경기도 가평군 북면,37.9767,127.4437
가평군,가인만당앞,Gainmandang,239000605,44204,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5978167,127.49735
가평군,가인만당앞,Gainmandang,239000426,44177,노변정류장,경기도 가평군,경기도 가평군 설악면,37.59775,127.4973167
가평군,가일1리,Gail 1-ri,239000514,44339,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073833,127.4921333
가평군,가일1리,Gail 1-ri,239000422,44293,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073667,127.49235
가평군,가일리,Gail-ri ,239000655,44404,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6047667,127.4930833
가평군,가일리.동천마을,"Gail-ri, Dongcheon Maeul ",239000840,44544,노변정류장,경기도 가평군,경기도 가평군 설악면,37.60485,127.4933
가평군,가일리삼거리,Gail-ri Samgeori ,239000603,44189,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6006167,127.4930667
가평군,가일리삼거리,Gail-ri Samgeori ,239000423,44292,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6005333,127.4931167
가평군,가평고등학교,Gapyeong High School ,239000540,44214,노변정류장,경기도 가평군,경기도 가평군 가평읍,37.8177667,127.5144667
가평군,가평고등학교,Gapyeong High School ,239000336,44143,노변정류장,경기도 가평군,경기도 가평군 가평읍,37.8182833,127.5118333
가평군,가평고등학교,Gapyeong High School,239000318,44207,노변정류장,경기도 가평군,경기도 가평군 가평읍,37.8178167,127.5146333
가평군,가평공영버스,Gapyeong Public Bus,239000920,44794,,경기도 가평군,,37.8244667,127.5153667
