기준일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
2022-05-16,(구)국제여객터미널,35052,161000052,중구,연안동,164354.2093,126.597932,438993.844,37.45241451
2022-05-16,(구)국제여객터미널,35051,161000051,중구,연안동,164336.1312,126.5977261,439026.3601,37.45270677
2022-05-16,(구)시민회관사거리,37319,163000319,미추홀구,주안4동,171634.3433,126.6801883,439514.779,37.4573604
2022-05-16,(구)시민회관사거리,37326,163000326,미추홀구,주안2동,171611.3811,126.679927,439559.922,37.45776642
2022-05-16,(구)신현주공,42228,168000228,서구,가정1동,171058.195,126.6733945,446673.6356,37.52184278
2022-05-16,(구)현대백화점,40158,166000158,부평구,산곡3동,174395.6197,126.7112675,443233.7065,37.49094833
2022-05-16,(주)경동세라믹스,89146,168001146,서구,오류왕길동,166087.8384,126.6169776,450837.1724,37.55918552
2022-05-16,(주)경인양행앞,42097,168000097,서구,석남2동,170465.3876,126.6667891,444178.4131,37.49934246
2022-05-16,(주)경인양행앞,42096,168000096,서구,가좌1동,170343.637,126.6654136,444145.8737,37.49904538
2022-05-16,(주)다이아트론,39134,165000134,남동구,남촌도림동,174004.1676,126.7071353,434909.4484,37.41593631
2022-05-16,(주)다이아트론,39133,165000133,남동구,남촌도림동,174029.3658,126.7074212,434874.6036,37.41562307
2022-05-16,(주)대한특수금속,39050,165000050,남동구,논현고잔동,172879.0446,126.6944906,433147.5666,37.40002943
2022-05-16,(주)두남,39135,165000135,남동구,남촌도림동,173648.1398,126.7031061,435119.4794,37.41781861
2022-05-16,(주)세모입구(린나이코리아),40893,166000893,부평구,십정1동,172057.7617,126.6849083,441242.8151,37.47294275
2022-05-16,(주)세모입구(린나이코리아),37585,163000585,미추홀구,주안5동,172037.8604,126.6846847,441205.1449,37.47260274
2022-05-16,(주)스킨이데아,89389,168001389,서구,원창동,166107.5171,126.617495,444459.0933,37.50172142
2022-05-16,(주)스킨이데아,89388,168001388,서구,원찬동,166105.6856,126.6174734,444479.2189,37.50190268
2022-05-16,(주)에코마이스터,89147,168001147,서구,오류왕길동,166319.5008,126.6195958,450916.9541,37.55991283
2022-05-16,(주)창원,39029,165000029,남동구,논현고잔동,173299.1435,126.6992605,432446.33,37.3937235
2022-05-16,(주)창원,39030,165000030,남동구,논현고잔동,173277.9157,126.699019,432494.3646,37.39415568
2022-05-16,(주)하나금속,39124,165000124,남동구,남촌도림동,173368.2624,126.6999464,435067.3135,37.41734057
2022-05-16,17사단.다임메가타운,40895,166000895,부평구,일신동,177507.0181,126.7464811,442195.4793,37.48167518
2022-05-16,17사단입구,40832,166000832,부평구,일신동,177516.4992,126.7466032,441707.0289,37.47727451
2022-05-16,1차풍림아이원,42642,168000642,서구,검단1동,169714.5348,126.6577678,457000.7687,37.61484416
2022-05-16,2001아울렛,40154,166000154,부평구,산곡3동,174351.7495,126.7107737,443170.7223,37.49037963
2022-05-16,2001아울렛,40162,166000162,부평구,산곡3동,174496.6231,126.7124092,443245.4605,37.49105704
2022-05-16,2001아울렛,40159,166000159,부평구,부평3동,174465.2197,126.7120553,443211.5236,37.4907504
2022-05-16,2차풍림아이원,42584,168000584,서구,검단1동,169970.2959,126.6606719,456820.837,37.61323144
2022-05-16,3단지,40736,166000736,부평구,산곡3동,173853.6084,126.7051474,442992.3973,37.48875895
2022-05-16,3단지관리사무소,40107,166000107,부평구,산곡3동,173842.5634,126.7050227,442987.6075,37.48871548
2022-05-16,41번구종점,42174,168000174,서구,신현원창동,170506.952,126.6671947,445782.494,37.51379628
2022-05-16,510번차고지,36145,162000145,동구,송현3동,169053.9093,126.6508695,443177.4657,37.49027779
2022-05-16,540번종점,39470,165000470,남동구,만수3동,175794.0056,126.7271759,440310.3917,37.46464729
2022-05-16,6공단사거리,37577,163000577,미추홀구,도화23동,170571.1644,126.6680982,441359.7219,37.47394984
2022-05-16,6공단입구,37442,163000442,미추홀구,주안5동,171620.8586,126.6799835,440873.6733,37.46960348
2022-05-16,6공단입구,37443,163000443,미추홀구,주안5동,171609.1612,126.6798502,440900.5708,37.46984547
2022-05-16,88JC(미정차),25201,99999999,코드정보 없음,방화3동,184072.9004,126.820461,453873.2436,37.58702746
2022-05-16,88JC(미정차),25204,115000204,코드정보 없음,방화3동,184187.9079,126.8217639,453839.6593,37.58672687
2022-05-16,8부두,35181,161000181,중구,북성동,165858.5206,126.6148029,441794.9159,37.47770853
2022-05-16,8부두,35182,161000182,중구,북성동,165818.055,126.6143436,441834.2054,37.47806103
2022-05-16,BMX경기장 앞,90357,169001357,강화군,강화읍,,0,,0
2022-05-16,CJ인천2공장,35592,161000592,중구,신흥동,166941.3444,126.6272414,437412.0473,37.43825893
2022-05-16,CJ인천2공장,35591,161000591,중구,신흥동,166915.1104,126.6269444,437422.8496,37.43835532
2022-05-16,E편한세상,42453,168000453,서구,원당동,173514.6933,126.7008836,454932.202,37.59632451
2022-05-16,E편한세상,42649,168000649,서구,불로대곡동,172873.7715,126.6935344,457405.8327,37.61859245
